"X.SampleID","SampleType","SoilPlot","Date","Timepoint","Treatment","Description"
"needle.ctrl.t1.4A","needle","4A","5th.June","t1","ctrl","needle.ctrl.t1.4A - 5th.June"
"needle.ctrl.t2.4A","needle","4A","24th.June","t2","ctrl","needle.ctrl.t2.4A - 24th.June"
"needle.ctrl.t3.4A","needle","4A","6th.August","t3","ctrl","needle.ctrl.t3.4A - 6th.August"
"needle.ctrl.t4.4A","needle","4A","9th.October","t4","ctrl","needle.ctrl.t4.4A - 9th.October"
"needle.25NO.t1.1A","needle","1A","5th.June","t1","25NO","needle.25NO.t1.1A - 5th.June"
"needle.25NO.t2.1A","needle","1A","24th.June","t2","25NO","needle.25NO.t2.1A - 24th.June"
"needle.25NO.t3.1A","needle","1A","6th.August","t3","25NO","needle.25NO.t3.1A - 6th.August"
"needle.25NO.t4.1A","needle","1A","9th.October","t4","25NO","needle.25NO.t4.1A - 9th.October"
"needle.ctrl.t1.6A","needle","6A","5th.June","t1","ctrl","needle.ctrl.t1.6A - 5th.June"
"needle.ctrl.t2.6A","needle","6A","24th.June","t2","ctrl","needle.ctrl.t2.6A - 24th.June"
"needle.ctrl.t3.6A","needle","6A","6th.August","t3","ctrl","needle.ctrl.t3.6A - 6th.August"
"needle.ctrl.t4.6A","needle","6A","9th.October","t4","ctrl","needle.ctrl.t4.6A - 9th.October"
"needle.5NO.t1.3B","needle","3B","5th.June","t1","5NO","needle.5NO.t1.3B - 5th.June"
"needle.5NO.t2.3B","needle","3B","24th.June","t2","5NO","needle.5NO.t2.3B - 24th.June"
"needle.5NO.t3.3B","needle","3B","6th.August","t3","5NO","needle.5NO.t3.3B - 6th.August"
"needle.5NO.t4.3B","needle","3B","9th.October","t4","5NO","needle.5NO.t4.3B - 9th.October"
"needle.ctrl.t1.14A","needle","14A","5th.June","t1","ctrl","needle.ctrl.t1.14A - 5th.June"
"needle.ctrl.t2.14A","needle","14A","24th.June","t2","ctrl","needle.ctrl.t2.14A - 24th.June"
"needle.ctrl.t3.14A","needle","14A","6th.August","t3","ctrl","needle.ctrl.t3.14A - 6th.August"
"needle.ctrl.t4.14A","needle","14A","9th.October","t4","ctrl","needle.ctrl.t4.14A - 9th.October"
"needle.25NO.t1.7A","needle","7A","5th.June","t1","25NO","needle.25NO.t1.7A - 5th.June"
"needle.25NO.t2.7A","needle","7A","24th.June","t2","25NO","needle.25NO.t2.7A - 24th.June"
"needle.25NO.t3.7A","needle","7A","6th.August","t3","25NO","needle.25NO.t3.7A - 6th.August"
"needle.25NO.t4.7A","needle","7A","9th.October","t4","25NO","needle.25NO.t4.7A - 9th.October"
"needle.5NO.t1.12B","needle","12B","5th.June","t1","5NO","needle.5NO.t1.12B - 5th.June"
"needle.5NO.t2.12B","needle","12B","24th.June","t2","5NO","needle.5NO.t2.12B - 24th.June"
"needle.5NO.t3.12B","needle","12B","6th.August","t3","5NO","needle.5NO.t3.12B - 6th.August"
"needle.5NO.t4.12B","needle","12B","9th.October","t4","5NO","needle.5NO.t4.12B - 9th.October"
"needle.25NO.t1.13A","needle","13A","5th.June","t1","25NO","needle.25NO.t1.13A - 5th.June"
"needle.25NO.t2.13A","needle","13A","24th.June","t2","25NO","needle.25NO.t2.13A - 24th.June"
"needle.25NO.t3.13A","needle","13A","6th.August","t3","25NO","needle.25NO.t3.13A - 6th.August"
"needle.25NO.t4.13A","needle","13A","9th.October","t4","25NO","needle.25NO.t4.13A - 9th.October"
"needle.5NO.t1.16B","needle","16B","5th.June","t1","5NO","needle.5NO.t1.16B - 5th.June"
"needle.5NO.t2.16B","needle","16B","24th.June","t2","5NO","needle.5NO.t2.16B - 24th.June"
"needle.5NO.t3.16B","needle","16B","6th.August","t3","5NO","needle.5NO.t3.16B - 6th.August"
"needle.5NO.t4.16B","needle","16B","9th.October","t4","5NO","needle.5NO.t4.16B - 9th.October"
"root.ctrl.t1.4A","root","4A","5th.June","t1","ctrl","root.ctrl.t1.4A - 5th.June"
"root.ctrl.t2.4A","root","4A","24th.June","t2","ctrl","root.ctrl.t2.4A - 24th.June"
"root.ctrl.t3.4A","root","4A","6th.August","t3","ctrl","root.ctrl.t3.4A - 6th.August"
"root.ctrl.t4.4A","root","4A","9th.October","t4","ctrl","root.ctrl.t4.4A - 9th.October"
"root.25NO.t1.1A","root","1A","5th.June","t1","25NO","root.25NO.t1.1A - 5th.June"
"root.25NO.t2.1A","root","1A","24th.June","t2","25NO","root.25NO.t2.1A - 24th.June"
"root.25NO.t3.1A","root","1A","6th.August","t3","25NO","root.25NO.t3.1A - 6th.August"
"root.25NO.t4.1A","root","1A","9th.October","t4","25NO","root.25NO.t4.1A - 9th.October"
"root.ctrl.t1.6A","root","6A","5th.June","t1","ctrl","root.ctrl.t1.6A - 5th.June"
"root.ctrl.t2.6A","root","6A","24th.June","t2","ctrl","root.ctrl.t2.6A - 24th.June"
"root.ctrl.t3.6A","root","6A","6th.August","t3","ctrl","root.ctrl.t3.6A - 6th.August"
"root.ctrl.t4.6A","root","6A","9th.October","t4","ctrl","root.ctrl.t4.6A - 9th.October"
"root.5NO.t1.3B","root","3B","5th.June","t1","5NO","root.5NO.t1.3B - 5th.June"
"root.5NO.t2.3B","root","3B","24th.June","t2","5NO","root.5NO.t2.3B - 24th.June"
"root.5NO.t3.3B","root","3B","6th.August","t3","5NO","root.5NO.t3.3B - 6th.August"
"root.5NO.t4.3B","root","3B","9th.October","t4","5NO","root.5NO.t4.3B - 9th.October"
"root.ctrl.t1.14A","root","14A","5th.June","t1","ctrl","root.ctrl.t1.14A - 5th.June"
"root.ctrl.t2.14A","root","14A","24th.June","t2","ctrl","root.ctrl.t2.14A - 24th.June"
"root.ctrl.t3.14A","root","14A","6th.August","t3","ctrl","root.ctrl.t3.14A - 6th.August"
"root.ctrl.t4.14A","root","14A","9th.October","t4","ctrl","root.ctrl.t4.14A - 9th.October"
"root.25NO.t1.7A","root","7A","5th.June","t1","25NO","root.25NO.t1.7A - 5th.June"
"root.25NO.t2.7A","root","7A","24th.June","t2","25NO","root.25NO.t2.7A - 24th.June"
"root.25NO.t3.7A","root","7A","6th.August","t3","25NO","root.25NO.t3.7A - 6th.August"
"root.25NO.t4.7A","root","7A","9th.October","t4","25NO","root.25NO.t4.7A - 9th.October"
"root.5NO.t1.12B","root","12B","5th.June","t1","5NO","root.5NO.t1.12B - 5th.June"
"root.5NO.t2.12B","root","12B","24th.June","t2","5NO","root.5NO.t2.12B - 24th.June"
"root.5NO.t3.12B","root","12B","6th.August","t3","5NO","root.5NO.t3.12B - 6th.August"
"root.5NO.t4.12B","root","12B","9th.October","t4","5NO","root.5NO.t4.12B - 9th.October"
"root.25NO.t1.13A","root","13A","5th.June","t1","25NO","root.25NO.t1.13A - 5th.June"
"root.25NO.t2.13A","root","13A","24th.June","t2","25NO","root.25NO.t2.13A - 24th.June"
"root.25NO.t3.13A","root","13A","6th.August","t3","25NO","root.25NO.t3.13A - 6th.August"
"root.25NO.t4.13A","root","13A","9th.October","t4","25NO","root.25NO.t4.13A - 9th.October"
"root.5NO.t1.16B","root","16B","5th.June","t1","5NO","root.5NO.t1.16B - 5th.June"
"root.5NO.t2.16B","root","16B","24th.June","t2","5NO","root.5NO.t2.16B - 24th.June"
"root.5NO.t3.16B","root","16B","6th.August","t3","5NO","root.5NO.t3.16B - 6th.August"
"root.5NO.t4.16B","root","16B","9th.October","t4","5NO","root.5NO.t4.16B - 9th.October"
